Imagen,Etiqueta
"[[[0.4509804  0.4509804  0.4509804 ]
  [0.4509804  0.4509804  0.4509804 ]
  [0.4509804  0.4509804  0.4509804 ]
  ...
  [0.38039216 0.38039216 0.38039216]
  [0.37254903 0.37254903 0.37254903]
  [0.3647059  0.3647059  0.3647059 ]]

 [[0.44705883 0.44705883 0.44705883]
  [0.4509804  0.4509804  0.4509804 ]
  [0.45490196 0.45490196 0.45490196]
  ...
  [0.38039216 0.38039216 0.38039216]
  [0.37254903 0.37254903 0.37254903]
  [0.3647059  0.3647059  0.3647059 ]]

 [[0.44313726 0.44313726 0.44313726]
  [0.44705883 0.44705883 0.44705883]
  [0.45490196 0.45490196 0.45490196]
  ...
  [0.3764706  0.3764706  0.3764706 ]
  [0.37254903 0.37254903 0.37254903]
  [0.3647059  0.3647059  0.3647059 ]]

 ...

 [[0.03921569 0.03921569 0.03921569]
  [0.08627451 0.08627451 0.08627451]
  [0.11764706 0.11764706 0.11764706]
  ...
  [0.21568628 0.21568628 0.21568628]
  [0.20392157 0.20392157 0.20392157]
  [0.19215687 0.19215687 0.19215687]]

 [[0.03137255 0.03137255 0.03137255]
  [0.07843138 0.07843138 0.07843138]
  [0.11372549 0.11372549 0.11372549]
  ...
  [0.21960784 0.21960784 0.21960784]
  [0.20392157 0.20392157 0.20392157]
  [0.19215687 0.19215687 0.19215687]]

 [[0.02745098 0.02745098 0.02745098]
  [0.07450981 0.07450981 0.07450981]
  [0.10980392 0.10980392 0.10980392]
  ...
  [0.22352941 0.22352941 0.22352941]
  [0.20784314 0.20784314 0.20784314]
  [0.19215687 0.19215687 0.19215687]]]",Normal
"[[[0.08627451 0.08627451 0.08627451]
  [0.09803922 0.09803922 0.09803922]
  [0.10980392 0.10980392 0.10980392]
  ...
  [0.07843138 0.07843138 0.07843138]
  [0.0627451  0.0627451  0.0627451 ]
  [0.04705882 0.04705882 0.04705882]]

 [[0.08627451 0.08627451 0.08627451]
  [0.09803922 0.09803922 0.09803922]
  [0.10980392 0.10980392 0.10980392]
  ...
  [0.07450981 0.07450981 0.07450981]
  [0.05882353 0.05882353 0.05882353]
  [0.04705882 0.04705882 0.04705882]]

 [[0.08627451 0.08627451 0.08627451]
  [0.09411765 0.09411765 0.09411765]
  [0.10588235 0.10588235 0.10588235]
  ...
  [0.07450981 0.07450981 0.07450981]
  [0.05882353 0.05882353 0.05882353]
  [0.04313726 0.04313726 0.04313726]]

 ...

 [[0.15294118 0.15294118 0.15294118]
  [0.18039216 0.18039216 0.18039216]
  [0.20392157 0.20392157 0.20392157]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.15686275 0.15686275 0.15686275]
  [0.18431373 0.18431373 0.18431373]
  [0.20392157 0.20392157 0.20392157]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.15686275 0.15686275 0.15686275]
  [0.1882353  0.1882353  0.1882353 ]
  [0.20784314 0.20784314 0.20784314]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]]",Normal
"[[[0.02745098 0.02745098 0.02745098]
  [0.02745098 0.02745098 0.02745098]
  [0.03137255 0.03137255 0.03137255]
  ...
  [0.14117648 0.14117648 0.14117648]
  [0.12156863 0.12156863 0.12156863]
  [0.05882353 0.05882353 0.05882353]]

 [[0.02745098 0.02745098 0.02745098]
  [0.02745098 0.02745098 0.02745098]
  [0.03137255 0.03137255 0.03137255]
  ...
  [0.14509805 0.14509805 0.14509805]
  [0.12156863 0.12156863 0.12156863]
  [0.0627451  0.0627451  0.0627451 ]]

 [[0.02745098 0.02745098 0.02745098]
  [0.02745098 0.02745098 0.02745098]
  [0.03137255 0.03137255 0.03137255]
  ...
  [0.14509805 0.14509805 0.14509805]
  [0.12156863 0.12156863 0.12156863]
  [0.06666667 0.06666667 0.06666667]]

 ...

 [[0.33333334 0.33333334 0.33333334]
  [0.34509805 0.34509805 0.34509805]
  [0.35686275 0.35686275 0.35686275]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.33333334 0.33333334 0.33333334]
  [0.34509805 0.34509805 0.34509805]
  [0.35686275 0.35686275 0.35686275]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.33333334 0.33333334 0.33333334]
  [0.34509805 0.34509805 0.34509805]
  [0.36078432 0.36078432 0.36078432]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]]",Normal
"[[[0.2901961  0.2901961  0.2901961 ]
  [0.3019608  0.3019608  0.3019608 ]
  [0.31764707 0.31764707 0.31764707]
  ...
  [0.5529412  0.5529412  0.5529412 ]
  [0.5568628  0.5568628  0.5568628 ]
  [0.56078434 0.56078434 0.56078434]]

 [[0.28235295 0.28235295 0.28235295]
  [0.3019608  0.3019608  0.3019608 ]
  [0.31764707 0.31764707 0.31764707]
  ...
  [0.54901963 0.54901963 0.54901963]
  [0.5529412  0.5529412  0.5529412 ]
  [0.5568628  0.5568628  0.5568628 ]]

 [[0.27450982 0.27450982 0.27450982]
  [0.29803923 0.29803923 0.29803923]
  [0.32156864 0.32156864 0.32156864]
  ...
  [0.54901963 0.54901963 0.54901963]
  [0.54901963 0.54901963 0.54901963]
  [0.5529412  0.5529412  0.5529412 ]]

 ...

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.40784314 0.40784314 0.40784314]
  [0.40392157 0.40392157 0.40392157]
  [0.39215687 0.39215687 0.39215687]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.40784314 0.40784314 0.40784314]
  [0.4        0.4        0.4       ]
  [0.39215687 0.39215687 0.39215687]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.40784314 0.40784314 0.40784314]
  [0.39607844 0.39607844 0.39607844]
  [0.3882353  0.3882353  0.3882353 ]]]",Normal
"[[[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.56078434 0.56078434 0.56078434]
  [0.5568628  0.5568628  0.5568628 ]
  [0.5529412  0.5529412  0.5529412 ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.56078434 0.56078434 0.56078434]
  [0.5568628  0.5568628  0.5568628 ]
  [0.54901963 0.54901963 0.54901963]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.5568628  0.5568628  0.5568628 ]
  [0.5529412  0.5529412  0.5529412 ]
  [0.54509807 0.54509807 0.54509807]]

 ...

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.3254902  0.3254902  0.3254902 ]
  [0.3137255  0.3137255  0.3137255 ]
  [0.29803923 0.29803923 0.29803923]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.32156864 0.32156864 0.32156864]
  [0.30980393 0.30980393 0.30980393]
  [0.29803923 0.29803923 0.29803923]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.32156864 0.32156864 0.32156864]
  [0.30980393 0.30980393 0.30980393]
  [0.29411766 0.29411766 0.29411766]]]",Normal
"[[[0.00392157 0.00392157 0.00392157]
  [0.00784314 0.00784314 0.00784314]
  [0.00784314 0.00784314 0.00784314]
  ...
  [0.38431373 0.38431373 0.38431373]
  [0.37254903 0.37254903 0.37254903]
  [0.3647059  0.3647059  0.3647059 ]]

 [[0.00392157 0.00392157 0.00392157]
  [0.00784314 0.00784314 0.00784314]
  [0.00784314 0.00784314 0.00784314]
  ...
  [0.38431373 0.38431373 0.38431373]
  [0.37254903 0.37254903 0.37254903]
  [0.3647059  0.3647059  0.3647059 ]]

 [[0.00392157 0.00392157 0.00392157]
  [0.00784314 0.00784314 0.00784314]
  [0.00784314 0.00784314 0.00784314]
  ...
  [0.38039216 0.38039216 0.38039216]
  [0.37254903 0.37254903 0.37254903]
  [0.36078432 0.36078432 0.36078432]]

 ...

 [[0.01176471 0.01176471 0.01176471]
  [0.01568628 0.01568628 0.01568628]
  [0.01568628 0.01568628 0.01568628]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.01176471 0.01176471 0.01176471]
  [0.01568628 0.01568628 0.01568628]
  [0.01568628 0.01568628 0.01568628]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.01176471 0.01176471 0.01176471]
  [0.01568628 0.01568628 0.01568628]
  [0.01568628 0.01568628 0.01568628]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]]",Normal
"[[[0.02745098 0.02745098 0.02745098]
  [0.02745098 0.02745098 0.02745098]
  [0.02745098 0.02745098 0.02745098]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.02745098 0.02745098 0.02745098]
  [0.02745098 0.02745098 0.02745098]
  [0.02745098 0.02745098 0.02745098]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.02745098 0.02745098 0.02745098]
  [0.02745098 0.02745098 0.02745098]
  [0.02745098 0.02745098 0.02745098]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 ...

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.00392157 0.00392157 0.00392157]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]]",Normal
"[[[0.43529412 0.43529412 0.43529412]
  [0.44705883 0.44705883 0.44705883]
  [0.45490196 0.45490196 0.45490196]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.43529412 0.43529412 0.43529412]
  [0.44705883 0.44705883 0.44705883]
  [0.45490196 0.45490196 0.45490196]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.43137255 0.43137255 0.43137255]
  [0.44705883 0.44705883 0.44705883]
  [0.45490196 0.45490196 0.45490196]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 ...

 [[0.15294118 0.15294118 0.15294118]
  [0.18039216 0.18039216 0.18039216]
  [0.20392157 0.20392157 0.20392157]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.15294118 0.15294118 0.15294118]
  [0.1764706  0.1764706  0.1764706 ]
  [0.20392157 0.20392157 0.20392157]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.15294118 0.15294118 0.15294118]
  [0.1764706  0.1764706  0.1764706 ]
  [0.20392157 0.20392157 0.20392157]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]]",Normal
"[[[0.13725491 0.13725491 0.13725491]
  [0.14901961 0.14901961 0.14901961]
  [0.16470589 0.16470589 0.16470589]
  ...
  [0.4627451  0.4627451  0.4627451 ]
  [0.44705883 0.44705883 0.44705883]
  [0.43137255 0.43137255 0.43137255]]

 [[0.13725491 0.13725491 0.13725491]
  [0.14901961 0.14901961 0.14901961]
  [0.16078432 0.16078432 0.16078432]
  ...
  [0.45882353 0.45882353 0.45882353]
  [0.44313726 0.44313726 0.44313726]
  [0.43137255 0.43137255 0.43137255]]

 [[0.14117648 0.14117648 0.14117648]
  [0.14901961 0.14901961 0.14901961]
  [0.16470589 0.16470589 0.16470589]
  ...
  [0.45490196 0.45490196 0.45490196]
  [0.43529412 0.43529412 0.43529412]
  [0.42745098 0.42745098 0.42745098]]

 ...

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.00392157 0.00392157 0.00392157]
  ...
  [0.01176471 0.01176471 0.01176471]
  [0.00784314 0.00784314 0.00784314]
  [0.00784314 0.00784314 0.00784314]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.00392157 0.00392157 0.00392157]
  ...
  [0.01176471 0.01176471 0.01176471]
  [0.00784314 0.00784314 0.00784314]
  [0.00784314 0.00784314 0.00784314]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.00392157 0.00392157 0.00392157]
  ...
  [0.01176471 0.01176471 0.01176471]
  [0.00784314 0.00784314 0.00784314]
  [0.00784314 0.00784314 0.00784314]]]",Normal
"[[[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.08627451 0.08627451 0.08627451]
  [0.07058824 0.07058824 0.07058824]
  [0.07450981 0.07450981 0.07450981]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.08235294 0.08235294 0.08235294]
  [0.07058824 0.07058824 0.07058824]
  [0.07058824 0.07058824 0.07058824]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.07843138 0.07843138 0.07843138]
  [0.07058824 0.07058824 0.07058824]
  [0.07058824 0.07058824 0.07058824]]

 ...

 [[0.20392157 0.20392157 0.20392157]
  [0.23529412 0.23529412 0.23529412]
  [0.2627451  0.2627451  0.2627451 ]
  ...
  [0.01176471 0.01176471 0.01176471]
  [0.01176471 0.01176471 0.01176471]
  [0.01176471 0.01176471 0.01176471]]

 [[0.21568628 0.21568628 0.21568628]
  [0.23921569 0.23921569 0.23921569]
  [0.26666668 0.26666668 0.26666668]
  ...
  [0.01176471 0.01176471 0.01176471]
  [0.01176471 0.01176471 0.01176471]
  [0.00784314 0.00784314 0.00784314]]

 [[0.21960784 0.21960784 0.21960784]
  [0.24313726 0.24313726 0.24313726]
  [0.26666668 0.26666668 0.26666668]
  ...
  [0.01176471 0.01176471 0.01176471]
  [0.01176471 0.01176471 0.01176471]
  [0.00784314 0.00784314 0.00784314]]]",Normal
"[[[0.03137255 0.03137255 0.03137255]
  [0.03137255 0.03137255 0.03137255]
  [0.03137255 0.03137255 0.03137255]
  ...
  [0.34509805 0.34509805 0.34509805]
  [0.34117648 0.34117648 0.34117648]
  [0.3372549  0.3372549  0.3372549 ]]

 [[0.02745098 0.02745098 0.02745098]
  [0.03137255 0.03137255 0.03137255]
  [0.03137255 0.03137255 0.03137255]
  ...
  [0.34509805 0.34509805 0.34509805]
  [0.34509805 0.34509805 0.34509805]
  [0.3372549  0.3372549  0.3372549 ]]

 [[0.02745098 0.02745098 0.02745098]
  [0.03137255 0.03137255 0.03137255]
  [0.03137255 0.03137255 0.03137255]
  ...
  [0.34901962 0.34901962 0.34901962]
  [0.34509805 0.34509805 0.34509805]
  [0.3372549  0.3372549  0.3372549 ]]

 ...

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]]",Normal
"[[[0.01568628 0.01568628 0.01568628]
  [0.02352941 0.02352941 0.02352941]
  [0.05098039 0.05098039 0.05098039]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.01568628 0.01568628 0.01568628]
  [0.01960784 0.01960784 0.01960784]
  [0.04705882 0.04705882 0.04705882]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.01568628 0.01568628 0.01568628]
  [0.01960784 0.01960784 0.01960784]
  [0.05098039 0.05098039 0.05098039]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 ...

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.00392157 0.00392157 0.00392157]
  [0.00392157 0.00392157 0.00392157]
  [0.00392157 0.00392157 0.00392157]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.00392157 0.00392157 0.00392157]
  [0.00392157 0.00392157 0.00392157]
  [0.00392157 0.00392157 0.00392157]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.00392157 0.00392157 0.00392157]
  [0.00392157 0.00392157 0.00392157]
  [0.00392157 0.00392157 0.00392157]]]",Normal
